ck_id,lat,lng,additional_notes,base_area,base_perimeter,base_shape,birthID,bolted_to_ground,condition_notes,depth,faucet_design,faucet_height_cm,faucet_length_cm,flow_rate,format,height,height_cm,high_traffic_area,material,number_of_drains,old_code,original_paint_remaining_pct,owner,parish,raised_drain,risk_factor_algae_pct,risk_factor_graffiti_pct,risk_factor_grime,risk_factor_missing_pieces,risk_factor_overall_damage_pct,risk_factor_rust_percent,risk_factor_surface_damage_percent,running,service_panel,sestiere_or_island,street,street_address,subtype,surface_area_sq_cm,totalDonated,type,visibility,width,width_cm,wiki_friendly_title
41dc8f7b-5af8-0e09-96e5-7842e1df28e7,45.43007998,12.33348008,Broken spout,1256,126,circle,DD107F,FALSE,broken spout; graffiti,8,spout,54,10,1.5,JPEG,3264,154,FALSE,metal,1,2,0,VESTA,Gesuati,FALSE,25,0,medium,many,14,5,4,TRUE,TRUE,Dorsoduro,Rio Ter_ dei Catecumeni,DD107,type C,12139,0,fountain,high,2448,unknown,Fountain - DD107F_2014
431191f3-3add-e11d-b8a7-3fb0b06dae5b,45.455674,12.3566,,602.3218821,87,Circle,MU47F,TRUE,,8,lion spout,97,,1.89,JPEG,3264,140,,metal,1,,,City of Venice,,,20,0,50,0,,20,10,,TRUE,Murano,Fondamenta Navagero,MU47,Type B_Puglia,12782.32188,,,high,1840,,Fountain - MU47F_2014
45a0d5eb-4021-cf08-3714-5b8df3bd8265,45.435785,12.322805,,0,0,Circle,DD3628F,FALSE,,8,spout,40,21,0,JPEG,3264,52,,metal,0,,,City of Venice,,,0,0,0,50,,100,15,,FALSE,Dorsoduro,calle e corte del basego,DD3628,well_Pozzo,462,,,low,2448,,Fountain - DD3628_2014
466d2d47-f1e2-c790-626b-c2e15dc1448b,45.43613497,12.32238806,,956,120,octagon,DD5575F,FALSE,"""prof. ta M.221 91""",8,spout,78,7,0,JPEG,3264,127,FALSE,stone,1,34,0,City of Venice,unknown,FALSE,0,1,medium,none,40,0,3,FALSE,TRUE,Dorsoduro,Corte del Gallo,DD5575,other,14400,0,fountain,medium,2448,26.8,Fountain - DD5575F_2014
4873b969-750c-c62a-c23f-e796bbe453ae,45.430154,12.354971,,7225,340,Square,CS000F,FALSE,,8,regular faucet,38,19,0,JPEG,3264,127,,brick,1,,,City of Venice,,,5,0,20,50,,0,10,,TRUE,Castello,riva Dei sette martiri,CS000,other,50614,,,High,2448,,Fountain - CS000F_2014
48a02c63-3885-b35c-4914-0ff08d3bd5bc,45.453975,12.352831,There's a working push button on floor,602.3218821,87,Circle,MU17F,TRUE,,8,lion spout,97,0,3.6,JPEG,3264,147,,metal,1,,,City of Venice,,,20,0,50,0,,15,5,,TRUE,Murano,Corte Bigaglia,MU17,Type B_Puglia,13391.32188,,,Medium,2448,,Fountain - MU17F_2014
49ef5629-4ff5-70fa-fd6b-450ec5bc71c7,45.42507886,12.32683002,,601,82,octagon,DD349F,FALSE,Insula infrastructure built around it,8,spout,60,19,1.1,JPEG,3264,90,FALSE,metal,1,53,5,City of Venice,unknown,FALSE,20,1,medium,none,28,5,4,TRUE,TRUE,Dorsoduro,Corte Ferrando,DD349,,6359,0,fountain,medium,2448,26.8,Fountain - DD349F_2014
4b426862-bad0-4217-e347-24b0222760da,45.43079442,12.32036366,"valve, access panel in base; slot in top. Push new spout to get water.",3234,238,square with rounded corners,DDF,TRUE,access panel in base; slot in top,8,other,0,0,12.5,JPEG,3264,unknown,TRUE,metal,1,37,10,VESTA,unknown,TRUE,30,0,High,some,32,15,20,FALSE,TRUE,Dorsoduro,Scalo Marittimo San Basil,unknown,type B,14054,0,fountain,high,2448,59.5,Fountain - DDF_2014
4eacf733-3f8e-6706-fa10-ef37186d8ea6,45.42882052,12.33200297,Missing grate. Drain filled with dirt.,3234,238,square with rounded corners,DD277F,FALSE,missing grate,8,lion,80,8,0,JPEG,3264,138,FALSE,metal,1,3,1,VESTA,unknown,TRUE,0,0,medium,some,24,95,1,FALSE,FALSE,Dorsoduro,Campiello del Spirito Santo,DD277,type B,14054,0,fountain,medium,2448,59.5,Fountain - DD277F_2014
4eea1bb5-7b7c-fee7-d33a-e50ced44ca3b,45.43376363,12.3584779,,3234,238,square with rounded corners,CS57F,TRUE,,8,lion,80,8,0.43,JPEG,3264,125,FALSE,metal,1,99,0,City of Venice,S. Piero de Castelo,TRUE,40,0,medium,some,26,35,50,TRUE,TRUE,Castello,Foundament di Quintavale,CS57,type B,14054,0,fountain,high,2448,59.5,Fountain - CS57F_2014
